

Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
games/PocketChallengeV2/boot.rom,https://archive.org/download/mister_bios_db/WonderSwan.zip/boot.rom,4096,54b915694731cc22e07d3fb8a00ee2db,bios mgl-bios,overwrite:false,
games/PocketChallengeV2/boot1.rom,https://archive.org/download/mister_bios_db/WonderSwan.zip/boot1.rom,8192,880893bd5a7d53fff826bd76a83d566e,bios mgl-bios,overwrite:false,
games/PokemonMini/boot.rom,https://archive.org/download/mister_bios_db/PokemonMini.zip/PokemonMini%2F%5BBIOS%5D%20Nintendo%20Pokemon%20Mini%20%28World%29.min,4096,1e4fb124a3a886865acb574f388c803d,bios,overwrite:false,
games/PSX/boot.rom,https://archive.org/download/mister_bios_db/PSX.zip/SCPH7001.BIN,524288,1e68c231d0896b7eadcad1d7d8e76129,bios,overwrite:false,
games/PSX/boot1.rom,https://archive.org/download/mister_bios_db/PSX.zip/SCPH7000.BIN,524288,8e4c14f567745eff2f0408c8129f72a6,bios,overwrite:false,
games/PSX/boot2.rom,https://archive.org/download/mister_bios_db/PSX.zip/SCPH7002.BIN,524288,b9d9a0286c33dc6b7237bb13cd46fdee,bios,overwrite:false,
games/PSX/sbi.zip,https://archive.org/download/mister_bios_db/PSX.zip/sbi.zip,218953,706d60ab2dfdbfdd53be2069cb85a1fe,bios,overwrite:false,
games/Saturn/boot.rom,https://archive.org/download/mister_bios_db/Saturn.zip/Saturn%2FBios%20GameNavi%20HiSaturn%201.03.bin,524288,0306c0e408d6682dd2d86324bd4ac661,bios,overwrite:false,
games/SCV/boot.rom,https://archive.org/download/mister_bios_db/SCV.zip/SCV%2FSCV%20boot.rom,6144,b596975be2e0360232bbeb1e492ab873,bios,overwrite:false,
games/SGB/Super Game Boy 2.sfc,https://archive.org/download/mister_bios_db/SGB.zip/SGB2.sfc,524288,8ecd73eb4edf7ed7e81aef1be80031d5,bios,overwrite:false,
games/SGB/Super Game Boy.sfc,https://archive.org/download/mister_bios_db/SGB.zip/SGB1.sfc,262144,b15ddb15721c657d82c5bab6db982ee9,bios,overwrite:false,
games/SNES/bsx_bios.rom,https://archive.org/download/mister_bios_db/SNES.zip/BS-X%20BIOS%20%28English%29%20%5BNo%20DRM%5D%20%5B2016%20v1.3%5D.sfc,1048576,96cf17bf589fcbfa6f8de2dc84f19fa2,bios,overwrite:false,
games/TGFX16-CD/cd_bios.rom,https://archive.org/download/mister_bios_db/TurboGrafx16.zip/TurboGrafx16/Super%20CD%203.1.pce,262144,98d43a097a165b03df170fd5c2ad2c2f,bios,overwrite:false,
games/TI-99_4A/boot0.rom,https://archive.org/download/mister_bios_db/TI-99_4A.zip/boot0.rom,196608,a75bb208176c0aed1b6a04b2dcf4770c,bios,overwrite:false,
games/WonderSwan/boot.rom,https://archive.org/download/mister_bios_db/WonderSwan.zip/boot.rom,4096,54b915694731cc22e07d3fb8a00ee2db,bios,overwrite:false,
games/WonderSwan/boot1.rom,https://archive.org/download/mister_bios_db/WonderSwan.zip/boot1.rom,8192,880893bd5a7d53fff826bd76a83d566e,bios,overwrite:false,
games/WonderSwanColor/boot.rom,https://archive.org/download/mister_bios_db/WonderSwan.zip/boot.rom,4096,54b915694731cc22e07d3fb8a00ee2db,bios mgl-bios,overwrite:false,
games/WonderSwanColor/boot1.rom,https://archive.org/download/mister_bios_db/WonderSwan.zip/boot1.rom,8192,880893bd5a7d53fff826bd76a83d566e,bios mgl-bios,overwrite:false,


